Chromosome	Chromosome_Coord	FC_FWvsOC
groupXVI	3411296	0.808192525
groupX	1453972	0.906189084
groupXVI	3417694	1.15962571
groupXVI	3428653	0.994158474
groupXIX	13550	0.803310236
groupXIX	90581	1.350267809
groupXVI	3456045	1.004502555
groupX	1469655	0.924931429
groupXXI	2316808	1.174736904
groupXIX	145121	0.412548676
groupX	1496194	1.049444325
groupXVI	3473888	1.027593737
groupXXI	2366987	0.958451868
groupX	1512449	1.205077124
groupXVI	3503207	0.930033312
groupXXI	2494002	0.709247918
groupXXI	2495094	0.757958261
groupXXI	2635828	0.975116246
groupXVI	3540991	1.292971
groupXVI	3564723	1.010169914
groupXXI	2675655	1.018268954
groupXVI	3585428	0.929559709
groupXXI	2682995	1.058338526
groupX	1519123	1.046588563
groupX	1528527	1.072911462
groupX	1539872	0.863432487
groupXVI	3650200	1.056424566
groupXXI	2692183	1.015504405
groupXXI	2701324	1.123207155
groupV	43654	0.949713206
groupV	105759	0.972701959
groupXIX	492938	1.733285709
groupXXI	2704703	1.001224153
groupXIX	512381	1.015510571
groupV	123052	0.984240529
groupXIX	537720	1.114444759
groupXXI	2707600	0.950726128
groupXXI	2711762	1.338763511
groupXVI	3659918	1.257096416
groupXIX	542538	0.916324271
groupXIX	546431	0.920090964
groupXVI	3683417	0.853587508
groupXVI	3707325	1.019687746
groupXIX	558989	1.099430064
groupXVI	3714971	1.14086391
groupXIX	571736	1.218538846
groupV	129060	0.830372241
groupXXI	2732424	0.990874319
groupX	1546915	1.057553035
groupXIX	574832	0.883087477
groupXIX	578058	0.798152842
groupXVI	3724681	0.806676141
groupV	134338	0.890353133
groupV	145368	0.90199313
groupV	148373	1.078897374
groupXVI	3906761	1.161257368
groupXIX	590390	0.975913578
groupXXI	2859171	1.039375784
groupXIX	613409	0.996465821
groupV	172151	1.082097748
groupX	1559641	1.341291552
groupXVI	3927746	1.137261077
groupXIX	628172	1.26302002
groupXVI	3949261	0.953911809
groupXIX	639982	1.393934721
groupXIX	644181	0.756436161
groupXXI	2967192	1.576134239
groupXXI	3025329	1.189836801
groupXXI	3031956	0.862609352
groupV	227885	1.03675025
groupVI	19192	0.870189727
groupXXI	3044902	0.899321532
groupXXI	3048132	1.276451929
groupXXI	3052883	1.19687839
groupVI	52847	1.003421102
groupXVI	4110596	0.97073042
groupV	285045	0.9258924
groupVI	76610	0.877524227
groupX	1564750	1.047531757
groupVI	86752	0.734624475
groupXIX	649568	0.964266476
groupXXI	3062196	0.846453021
groupXXI	3072422	1.2628637
groupVI	101551	1.19447561
groupX	1569329	1.0525228
groupXXI	3078276	0.882938539
groupXIX	665006	0.867518254
groupXVI	4117490	1.108737543
groupVI	114160	0.975762409
groupXVI	4151449	0.820383968
groupXXI	3088270	1.271634879
groupXIX	683114	0.982621155
groupXVI	4194335	0.928511639
groupV	310098	1.019710409
groupXXI	3097382	1.221498336
groupXVI	4217674	1.45742346
groupVI	158554	1.063511383
groupV	316466	0.939165518
groupXVI	4442766	0.692962525
groupXIX	685953	0.810735601
groupXVI	4476772	0.960585522
groupXIX	689793	0.926051308
groupXVI	4489267	0.949124058
groupX	1568014	1.158046403
groupX	1581187	1.195181725
groupXVI	4559953	0.834725023
groupXIX	694259	1.017772332
groupX	1593889	1.085384407
groupXVI	4655355	0.887788279
groupV	320694	0.870176768
groupXVI	4708488	1.42389695
groupV	343507	0.965806642
groupXXI	3764666	1.374588871
groupVI	211634	0.832928345
groupX	1602687	0.850957603
groupV	462627	1.009151605
groupXIX	702208	1.023211608
groupX	1616093	1.483567832
groupXIX	708637	1.341608787
groupX	1624029	1.008167308
groupXIX	714112	1.334040684
groupV	504914	1.039711066
groupXIX	732014	1.272906703
groupVI	276923	1.181769561
groupXXI	3771055	0.869780305
groupXVI	4974833	1.301150386
groupX	1633502	1.016581781
groupV	522522	1.086049073
groupXXI	3786219	1.120286453
groupVI	325488	1.377489898
groupXIX	749698	1.186661627
groupXIX	766509	1.725271224
groupV	531888	1.095939087
groupX	1638446	1.044146489
groupXXI	3808954	1.049101759
groupXVI	5040247	0.717499664
groupX	1640847	1.038089498
groupV	540235	0.967465727
groupX	1648351	1.224454045
groupXIX	828010	1.169374363
groupVI	363681	0.946538549
groupXVI	5064745	0.92174379
groupV	559746	0.922646797
groupXIX	855459	1.260789485
groupXVI	5091088	0.751264091
groupV	671520	0.990428379
groupXIX	899187	0.892594979
groupXXI	3846973	1.174538071
groupXVI	5114422	0.899163968
groupXXI	3867485	1.166026307
groupXVI	5127656	0.721995006
groupX	1655425	1.024338292
groupVI	435172	0.881324798
groupVI	445055	1.06630089
groupX	1701455	1.006188826
groupXVI	5494932	0.908974167
groupXXI	3883498	1.052691289
groupV	717817	0.938502332
groupXXI	3902738	0.847278595
groupVI	461929	1.04111807
groupXXI	3950282	1.194726402
groupX	1710907	0.863260336
groupXVI	5530124	1.14650872
groupX	1715064	1.156863907
groupV	750750	0.949416658
groupV	775901	1.586688779
groupVI	471823	0.86994845
groupXXI	4277900	1.077682462
groupV	780656	1.056091389
groupX	1733199	1.043905466
groupVI	491651	0.992829593
groupX	1757347	0.979210935
groupXVI	5562059	0.89533759
groupXXI	4283649	0.325666286
groupXVI	5565409	0.992277199
groupXVI	5569216	0.82355479
groupX	1867427	1.033416108
groupXVI	5576766	0.989631809
groupXIX	903461	1.04080373
groupX	1949712	1.046940337
groupVI	503151	1.003963815
groupXIX	908130	1.189563648
groupXXI	4321330	0.900574145
groupXIX	917689	1.289111942
groupX	2005391	1.066302462
groupV	788114	1.352607833
groupXIX	928555	1.072037174
groupXVI	5585128	1.210026768
groupXIX	938422	0.964015167
groupXXI	4336386	0.744504798
groupV	798676	0.961584187
groupV	828403	0.821277502
groupX	2015728	1.015068436
groupXXI	4342051	0.663073823
groupXXI	4347189	2.035398202
groupV	831821	0.927340219
groupXVI	5589689	0.801463321
groupXIX	939863	0.9583813
groupV	835122	0.604234838
groupXIX	973240	1.075351218
groupX	2026170	0.587347256
groupX	2031855	0.812781803
groupXVI	5614523	0.793499834
groupXXI	4360434	1.132311609
groupV	839246	1.375953717
groupXVI	5661575	1.089998
groupXXI	4368748	0.893514012
groupX	2036356	1.023477375
groupX	2043049	1.089746634
groupXVI	5691843	1.013680547
groupXXI	4582808	0.987856706
groupVI	527956	1.152737733
groupV	844574	0.816992723
groupXIX	1009660	1.329961891
groupXVI	5776234	0.948769623
groupXXI	4681726	1.03434478
groupVI	578634	1.603668017
groupVI	583292	1.141285887
groupXVI	5814845	1.25350471
groupXIX	1023061	0.43062074
groupXXI	4691849	1.002584569
groupVI	596210	1.288926023
groupX	2050228	0.991521378
groupV	854939	1.036748367
groupXXI	4711808	0.69059397
groupX	2061560	1.069627932
groupXXI	4944562	0.887259617
groupXIX	1046214	1.896593362
groupV	862008	1.034494416
groupXXI	4989370	0.802528164
groupXXI	5119299	0.920430385
groupVI	601952	1.033146001
groupVI	616135	1.088474934
groupXXI	5125944	1.933948028
groupXXI	5134007	1.386833377
groupV	866437	0.996113018
groupX	2064874	1.631921501
groupX	2068130	1.546503575
groupX	2072041	1.887595015
groupXIX	1166208	0.909341733
groupXXI	5152953	0.852946552
groupXIX	1184262	0.89336051
groupVI	627919	0.900330037
groupV	1016213	0.967196062
groupX	2077752	1.214594954
groupXXI	5178010	1.418535781
groupXXI	5183938	1.942073221
groupXIX	1201034	1.509082701
groupX	2093092	1.301770597
groupVI	668179	1.254653146
groupXXI	5190381	0.882711774
groupX	2102567	1.451693842
groupXIX	1236441	1.179459461
groupVI	672913	1.036487898
groupX	2112023	1.321299165
groupXIX	1260372	1.166381037
groupXIX	1264807	1.132231444
groupVI	692891	1.059999688
groupXXI	5219377	1.441628679
groupV	1043327	1.086399383
groupXIX	1270522	0.652144811
groupVI	720759	1.224976017
groupXXI	5564668	0.71220059
groupXIX	1285067	0.6349739
groupXXI	5568090	1.39100063
groupXXI	5572171	1.004353401
groupVI	740405	1.090215747
groupV	1049793	1.133472824
groupX	2136158	0.823906714
groupV	1055676	1.453508284
groupX	2146530	0.959851679
groupXXI	5577716	1.092165975
groupV	1079107	1.138199347
groupXIX	1295980	0.939394604
groupX	2151487	0.865769239
groupVI	795065	0.972104505
groupXXI	5593541	1.380042047
groupV	1091410	1.059378028
groupXXI	5620236	1.616618618
groupXIX	1355493	1.625174826
groupXIX	1417589	0.637238255
groupXXI	5629145	0.927162943
groupV	1094583	0.981929118
groupV	1098855	1.005660694
groupV	1102133	0.991726933
groupX	2155259	1.09098745
groupXIX	1436489	1.44210534
groupXXI	5671549	1.13265956
groupXVI	5909187	0.436306706
groupVI	815954	0.950813328
groupXVI	5926074	0.942331844
groupXIX	1450590	1.042931868
groupXVI	6120266	0.886611215
groupXXI	5736042	0.926295501
groupXIX	1468580	0.808933476
groupXVI	6232390	0.604460153
groupXIX	1484546	0.910941714
groupX	2160254	0.948184794
groupVI	831044	1.414900565
groupXXI	5741700	1.283550014
groupXIX	1500652	0.996526038
groupV	1107074	1.348655227
groupV	1112039	1.194170995
groupXIX	1522078	0.869818119
groupXIX	1546975	0.864006826
groupXIX	1551308	1.096958835
groupVI	838534	1.183327954
groupXXI	5749727	0.748355262
groupXVI	6241888	0.880774418
groupXXI	5773293	0.609624088
groupXIX	1556906	1.252658864
groupXIX	1586770	1.083090087
groupX	2240819	0.962997782
groupXVI	6250324	1.144002483
groupXIX	1604403	0.187489696
groupV	1194607	1.007585427
groupXVI	6261077	1.013979718
groupXXI	5793157	0.71665813
groupX	2279584	0.95224869
groupV	1237987	1.207623889
groupXXI	5797143	0.637082665
groupXXI	5839543	1.902627997
groupXXI	5894960	0.803833713
groupXIX	1684477	0.928690161
groupX	2310357	1.09141671
groupXVI	6268917	1.031239036
groupXII	76927	0.870227019
groupXXI	5899555	1.321390373
groupX	2314578	1.058927019
groupX	2321427	0.83434925
groupX	2379279	1.167049241
groupXVI	6276436	0.862883921
groupXII	157915	0.982610208
groupXVI	6284382	0.853037656
groupVI	861110	0.84254305
groupX	2477502	0.927822741
groupX	2498471	1.125206471
groupXII	168293	0.969224879
groupVI	869625	0.669915992
groupV	1248327	0.860508055
groupX	2531264	0.745325255
groupVI	905480	0.875737838
groupVI	933836	0.58527122
groupVI	935714	0.596117229
groupXVI	6297075	0.979434908
groupV	1266590	1.032141756
groupXXI	5944655	1.183200156
groupVI	958488	0.784783186
groupV	1277789	1.209325871
groupV	1284883	0.820057088
groupV	1297463	0.998930546
groupXIX	1756514	0.942696727
groupXXI	5976343	0.684235177
groupXII	206452	1.065529713
groupVI	995093	1.174418686
groupXIX	1769554	1.003536173
groupX	2562644	0.909114327
groupV	1388554	0.860656891
groupXVI	6318112	0.981529323
groupXII	225517	0.449920857
groupXII	232289	1.157956704
groupV	1391782	1.05482111
groupX	2586560	0.981214708
groupVI	1043252	1.344980394
groupX	2595663	1.005714484
groupXXI	5984531	0.551624897
groupXIX	1785206	1.162686094
groupXII	314705	1.318364581
groupXXI	5995236	1.286296627
groupXIX	1843420	1.023571577
groupV	1415449	1.199201129
groupX	2612132	0.985941131
groupXXI	6003613	0.873481509
groupVI	1054597	0.862979262
groupXIX	2089978	0.946793164
groupXVI	6359302	0.746415962
groupXII	320174	1.021090615
groupXXI	6011629	0.166274298
groupXIX	2106740	1.170015041
groupXII	333659	1.001755611
groupV	1541916	0.790515489
groupX	2615961	1.027027502
groupXVI	6368047	1.025642776
groupXXI	6015672	1.403221284
groupXIX	2125668	0.880625292
groupXVI	6370795	0.773557547
groupXIX	2185538	1.233416487
groupXVI	6372592	1.194127673
groupXVI	6375090	0.931211511
groupVI	1067105	0.952791497
groupX	2621815	1.040074666
groupXVI	6379599	0.97088962
groupXII	421868	3.400508564
groupVI	1093992	0.968162301
groupXVI	6394990	1.043124977
groupV	1624556	1.188867861
groupX	2633769	0.885966856
groupXII	446607	1.288653961
groupXXI	6027896	0.808729581
groupV	1645623	1.004652564
groupXII	481154	0.997512768
groupVI	1140168	0.954420593
groupVI	1322546	0.931690764
groupXIX	2227072	1.177260177
groupV	1679588	1.055234439
groupX	2646720	0.866013019
groupXXI	6097032	1.052932725
groupXII	514943	1.104286308
groupXVI	6414383	0.877001215
groupX	2668650	1.114929461
groupX	2673677	1.311619461
groupXXI	6179278	1.106059394
groupX	2687240	1.141272331
groupX	2694734	1.440975797
groupXXI	6184050	1.123697137
groupV	1687917	0.35030132
groupX	2719124	0.928976576
groupXVI	6425863	1.22561825
groupXII	539999	0.95960221
groupV	1694028	0.870015722
groupX	2732997	0.764982987
groupXIX	2232765	0.921376147
groupV	1715240	0.313806445
groupX	2736246	1.275529103
groupXII	548813	0.983110393
groupXXI	6399769	1.000810821
groupXII	552930	1.012741331
groupXXI	6419034	1.971018864
groupX	3018211	1.252043696
groupXVI	6442162	1.106482273
groupXII	568560	0.850418614
groupV	1729576	0.786979788
groupXVI	6451761	1.459367022
groupXVI	6455170	1.202072754
groupX	3038758	1.008737678
groupXII	586139	0.878990934
groupVI	1332670	0.918291097
groupX	3078186	0.695926574
groupV	1769508	1.054850591
groupXVI	6463264	0.980348705
groupX	3095216	0.959868507
groupXXI	6531984	2.525816801
groupVI	1339002	0.882345097
groupVI	1363315	1.182788594
groupXVI	6465845	0.926812904
groupXVI	6472415	1.02044641
groupV	1814745	0.96519937
groupX	3106935	0.615966491
groupX	3114937	0.8787996
groupX	3143214	1.04039125
groupVI	1386253	1.100374888
groupXXI	6546744	0.836422376
groupV	1824954	1.108904878
groupXXI	6565981	1.261410206
groupXIX	2311068	0.641171154
groupXII	602591	0.826794976
groupXVI	6483023	0.950937978
groupXXI	6572171	1.366511592
groupXII	610019	0.498773831
groupX	3181244	1.043171512
groupXVI	6497910	1.54852075
groupXII	612886	1.09532217
groupXXI	6610586	1.555849629
groupXII	616872	0.731485797
groupXII	620341	0.767365523
groupXII	627843	0.730480904
groupXVI	6564239	0.938563947
groupXVI	6570927	1.655543203
groupXXI	6652593	1.137851525
groupXVI	6579147	1.392993877
groupXXI	6660564	0.99462768
groupX	3198024	0.822423018
groupV	1834362	0.347679975
groupV	1837604	0.85015735
groupV	1841326	1.097315641
groupXVI	6630499	0.499703166
groupV	1848215	0.812431872
groupVI	1431605	1.000173847
groupXVI	6648723	1.094558879
groupXII	637574	0.810661809
groupV	1865988	0.967707355
groupXII	645532	1.211554238
groupXVI	6653945	1.192344982
groupXXI	6663834	5.647935349
groupXXI	6672678	1.469552552
groupXVI	6687574	1.02988357
groupXXI	6676213	1.284303115
groupXXI	6768398	1.740220662
groupV	1893474	0.973789177
groupXVI	6696609	1.080630136
groupXII	660546	0.867400535
groupXVI	6709748	1.020690012
groupV	1923331	0.959897928
groupXII	665339	1.309644846
groupXXI	6901339	1.217332737
groupV	1940006	0.742588687
groupVI	1517761	1.030191906
groupX	3204860	0.994771818
groupV	1954314	0.729752309
groupXII	700095	0.850664136
groupVI	1523301	1.146317033
groupXXI	6906396	1.43963471
groupVI	1629831	0.884890346
groupXVI	6949413	0.993029778
groupXXI	6932745	0.841403207
groupVI	1660506	1.133261291
groupXVI	6988539	0.821390055
groupXVI	6992456	0.923948312
groupXII	708299	0.857895198
groupXXI	6991300	1.070941883
groupXIX	2344395	0.538872997
groupXVI	7000645	1.022508752
groupX	3211158	1.021704128
groupXXI	7020166	1.382060012
groupXXI	7142342	0.853954091
groupXII	731721	0.513630654
groupV	1968388	1.217662201
groupXII	785162	0.806246003
groupV	1979234	0.69367349
groupXXI	7185811	0.680095989
groupXVI	7012246	0.902381076
groupXIX	2399538	0.882713865
groupXVI	7020126	0.901338956
groupXIX	2405202	1.001117081
groupXVI	7033311	1.697514801
groupV	2052739	1.55073936
groupX	3214378	1.011931352
groupXII	861171	1.278136168
groupXII	867210	1.280121739
groupVI	2053410	1.291695349
groupV	2063225	0.622561493
groupXXI	7210395	1.288253659
groupXII	871720	0.927196264
groupXVI	7069995	0.765793852
groupV	2076136	0.887043914
groupX	3220703	1.24117081
groupX	3227586	1.228984925
groupXIX	2460366	7.441802801
groupXII	878510	0.931679172
groupV	2084285	0.785094714
groupXVI	7177914	1.034997716
groupV	2106736	0.998088735
groupX	3233525	0.411372595
groupXXI	7241897	1.123751278
groupX	3241714	0.875743251
groupX	3257830	1.117660492
groupXII	882876	1.563478942
groupV	2131834	1.171701391
groupXIX	2491071	0.444192274
groupXII	894137	1.115387115
groupXVI	7216402	0.587876263
groupVI	2192604	0.969005908
groupV	2138913	1.595180051
groupXII	1050144	1.187438006
groupV	2151434	1.406169566
groupX	3273945	0.876975592
groupXVI	7223852	1.068321035
groupX	3283369	0.953549045
groupV	2160421	0.851035423
groupX	3292132	0.779520036
groupXVI	7225666	0.962472844
groupXXI	7256303	1.420200778
groupXVI	7227123	0.86741156
groupXVI	7230173	0.829264586
groupXXI	7267300	1.033388439
groupV	2171412	0.754103431
groupXII	1054614	1.017915203
groupX	3312325	1.080173817
groupVIII	114886	1.178930314
groupXVI	7242724	0.749437231
groupXVI	7256202	0.899692817
groupXIX	2506746	2.288263124
groupX	3320056	0.751294344
groupVI	2223826	0.974730345
groupXX	21319	0.927840378
groupXII	1060208	1.158523245
groupXX	27598	0.913877987
groupXII	1065728	1.09808553
groupXX	43580	0.863972484
groupX	3325537	1.037163255
groupVI	2252968	0.983310586
groupXVI	7272513	1.184333651
groupX	3333961	0.972671315
groupXX	84477	0.849543183
groupVIII	219798	1.017908493
groupVI	2281018	0.97809211
groupVIII	225687	1.015168564
groupXVI	7280074	1.218772646
groupVIII	268752	0.986032114
groupVI	2311378	1.047549275
groupXIX	2518246	0.377782104
groupX	3343977	1.39570934
groupXVI	7292488	1.438895006
groupXX	124323	1.069992306
groupXII	1070784	1.135854502
groupVI	2324255	0.680927154
groupXII	1075206	1.015999704
groupXVI	7300336	0.679022809
groupV	2180294	1.140287635
groupXX	143469	1.133273756
groupXXI	7291096	1.043137159
groupXVI	7306276	0.847855669
groupX	3354035	0.958554051
groupXXI	7310268	0.961327244
groupXXI	7324671	1.169689916
groupV	2198818	1.373901101
groupVIII	303785	0.922512579
groupXX	167924	1.024166123
groupV	2208459	1.040426667
groupX	3358162	0.916563058
groupXII	1123346	0.744603066
groupXXI	7333730	1.493376682
groupXII	1137922	0.945667532
groupXXI	7339870	0.702306974
groupXX	210700	1.018165862
groupVI	2362581	1.042382459
groupV	2220976	0.80873742
groupXII	1185631	0.944901681
groupVIII	481433	1.503884916
groupXII	1331620	0.688292244
groupXXI	7470095	0.840296859
groupVI	2401499	1.197086591
groupXVI	7348837	0.9088429
groupXXI	7475740	1.058831711
groupXVI	7352879	0.858509851
groupXX	257231	3.859791958
groupVI	2418631	1.147606262
groupVIII	553542	0.897298612
groupVI	2442317	1.292608238
groupXX	264564	1.003076373
groupXX	268015	0.939683459
groupVI	2446815	0.908719302
groupXIX	2597296	0.42921581
groupX	3403292	1.098096605
groupXX	273034	1.70552448
groupXXI	7479791	1.253948597
groupX	3425978	1.060154498
groupVI	2450864	0.929773582
groupX	3624821	1.130714512
groupVIII	679996	0.760278601
groupXVI	7375019	0.934729094
groupVI	2454421	0.887923811
groupXII	1352910	1.044658991
groupXVII	6667	0.988860503
groupVI	2460809	1.059977252
groupXVII	47612	0.761873935
groupV	2236149	1.002208502
groupVIII	712963	1.049834611
groupXX	279902	0.214824664
groupXVI	7392868	1.038017264
groupVI	2465730	0.93885337
groupVI	2475498	1.305754168
groupXII	1361583	0.97394882
groupXX	322599	0.816024034
groupXVI	7402915	0.99375144
groupXVII	108083	0.913040186
groupXII	1385589	0.760456453
groupXXI	7491971	1.105067921
groupXXI	7499640	1.126550284
groupX	3750951	0.64267293
groupV	2242705	0.91077911
groupXVII	271024	0.559317248
groupVIII	740052	1.195668845
groupXXI	7506009	0.753141881
groupXVII	276073	0.68581699
groupVI	2544905	1.161645553
groupXII	1408330	0.992370336
groupXVII	316879	3.633440069
groupX	3770484	1.042096078
groupXVII	318588	3.783871282
groupXXI	7514303	1.308699167
groupX	3780466	0.965291004
groupXVII	380699	0.887021672
groupXVII	383109	0.869779213
groupXVII	437347	2.74421866
groupXXI	7530197	1.290389204
groupXII	1415812	0.785301861
groupXIX	2613445	1.22080761
groupV	2248041	0.992024187
groupXX	336197	1.253820689
groupXVI	7484464	1.380634007
groupX	3791319	1.032710887
groupVI	2551161	0.903649307
groupX	3795910	0.994884816
groupXVI	7498993	1.491638802
groupXX	338934	1.021430514
groupXXI	7548891	1.124044278
groupX	3801036	1.629022516
groupXX	369539	1.096295925
groupX	3803745	1.021033433
groupV	2256824	1.069962721
groupVI	2605182	1.045724034
groupXX	375217	0.96835687
groupXXI	7559043	0.986652909
groupV	2290579	0.607346921
groupXII	1452483	1.070646894
groupVIII	813778	1.348426878
groupXXI	7561871	0.903214152
groupXXI	7564348	0.353836834
groupXII	1458799	0.69940421
groupXXI	7566585	0.889429944
groupXXI	7570987	0.929267286
groupXX	403135	1.451120685
groupXXI	7578982	0.933354211
groupXVII	445506	1.168680512
groupV	2323154	0.955333026
groupV	2330026	1.255709524
groupXVI	7506694	1.230098584
groupX	3810190	1.077610641
groupXXI	7591234	1.015106433
groupVIII	861905	1.508134963
groupXXI	7595747	0.863283115
groupX	3812086	1.028614655
groupXVI	7514206	1.040513946
groupXIX	2767220	0.965163328
groupX	3817928	0.971493522
groupX	3848501	1.129897659
groupV	2409755	0.673788123
groupXVII	451549	0.28139875
groupVIII	869211	1.127456966
groupXVI	7519887	0.748681323
groupXII	1490247	1.052459923
groupXIX	2865947	1.032577704
groupX	3901062	1.034060913
groupVIII	888139	1.166635222
groupVI	2613767	0.904025634
groupXX	419951	0.917261969
groupXX	424250	1.018727117
groupVIII	907664	1.35228419
groupX	3947134	0.953594466
groupXX	438922	0.999198705
groupXVI	7524711	0.746745341
groupXXI	7609700	1.018921204
groupXIX	2915731	0.894041089
groupV	2502561	1.169414931
groupXVI	7542166	0.955423152
groupXXI	7619206	1.224578395
groupXIX	2968285	1.1610719
groupVIII	1064136	1.178931002
groupV	2507157	0.965052439
groupX	4040444	1.198760813
groupXX	449028	1.054684379
groupXIX	2981910	0.841972924
groupVIII	1132951	0.993574622
groupXVI	7556249	1.110898904
groupV	2510194	1.058875047
groupVI	2617752	1.000257228
groupXVI	7567875	0.659594655
groupXXI	7625512	1.094621051
groupXX	469709	0.328689929
groupVIII	1139555	0.836013386
groupXX	476400	0.342064335
groupXXI	7652658	0.907961901
groupXVI	7578569	1.053664385
groupVI	2620887	1.023734693
groupX	4278151	1.077804082
groupVIII	1172116	0.7137213
groupXVII	460284	0.894099968
groupXX	485907	1.022924858
groupV	2520829	0.951790243
groupVIII	1208861	1.096634877
groupVIII	1216918	1.067282824
groupXXI	7673370	1.111927635
groupX	4296376	0.811250367
groupXVI	7586469	1.038842694
groupXX	503282	0.924972005
groupXXI	7679699	1.07489675
groupVIII	1224536	1.288550737
groupXIX	2985448	0.819014192
groupXIX	2999731	0.735192383
groupVI	2627953	0.941587006
groupX	4372767	1.170944118
groupXII	1498450	1.28177182
groupXIX	3027182	1.257894673
groupVIII	1248437	1.044638198
groupXII	1506165	0.977670227
groupXIX	3055384	0.85078665
groupX	4397008	1.074836697
groupXX	533742	0.987516811
